State,PHN code,PHN area name,Reporting Year,Age group,Number of registered children,Number fully immunised,Number not fully immunised,Number of registered IndigAus  children,Number IndigAus fully immunised,Number IndigAus not fully immunised,Interpret with caution (#),,,,
NSW,PHN101,Central and Eastern Sydney,2016-17,2 years,"18,441","16,422","2,019",225,203,22,,,,,
NSW,PHN110,Murrumbidgee,2012-13,5 years,"3,294","3,085",209,226,204,22,,,,,
NSW,PHN105,South Western Sydney,2014-15,2 years,"14,192","12,477","1,715",299,270,29,,,,,
NSW,PHN106,South Eastern NSW,2013-14,2 years,"6,980","6,491",489,464,419,45,,,,,
NSW,PHN109,North Coast,2014-15,1 year,"5,502","4,822",680,683,617,66,,,,,
NSW,PHN107,Western NSW,2015-16,1 year,"4,192","3,955",237,865,782,83,,,,,
NSW,PHN108,Hunter New England and Central Coast,2013-14,1 year,"15,524","14,235","1,289","1,443","1,309",134,,,,,
NSW,PHN105,South Western Sydney,2013-14,2 years,"13,744","12,587","1,157",248,225,23,,,,,
NSW,PHN103,Western Sydney,2012-13,5 years,"13,747","12,604","1,143",205,186,19,,,,,
NSW,PHN106,South Eastern NSW,2015-16,2 years,"6,777","6,257",520,456,414,42,,,,,
NSW,PHN101,Central and Eastern Sydney,2015-16,5 years,"17,488","16,009","1,479",196,178,18,,,,,
NSW,PHN109,North Coast,2016-17,2 years,"5,606","4,928",678,666,605,61,,,,,
NSW,PHN106,South Eastern NSW,2016-17,2 years,"6,960","6,424",536,525,477,48,,,,,
NSW,PHN109,North Coast,2015-16,2 years,"5,647","4,923",724,657,597,60,,,,,
NSW,PHN110,Murrumbidgee,2012-13,2 years,"3,096","2,947",149,237,216,21,,,,,
NSW,PHN108,Hunter New England and Central Coast,2015-16,2 years,"15,462","14,277","1,185","1,500","1,369",131,,,,,
NSW,PHN101,Central and Eastern Sydney,2014-15,1 year,"19,331","17,646","1,685",232,212,20,,,,,
NSW,PHN107,Western NSW,2012-13,2 years,"4,265","4,018",247,722,660,62,,,,,
NSW,PHN105,South Western Sydney,2016-17,2 years,"14,433","12,849","1,584",306,280,26,,,,,
NSW,PHN109,North Coast,2013-14,2 years,"5,787","5,099",688,604,553,51,,,,,
NSW,PHN106,South Eastern NSW,2015-16,1 year,"6,746","6,364",382,535,490,45,,,,,
NSW,PHN101,Central and Eastern Sydney,2016-17,1 year,"18,910","17,565","1,345",290,266,24,,,,,
NSW,PHN105,South Western Sydney,2015-16,1 year,"13,927","12,862","1,065",315,289,26,,,,,
NSW,PHN107,Western NSW,2012-13,5 years,"4,342","4,080",262,691,635,56,,,,,
NSW,PHN109,North Coast,2015-16,1 year,"5,400","4,846",554,655,603,52,,,,,
NSW,PHN108,Hunter New England and Central Coast,2016-17,2 years,"15,369","14,324","1,045","1,613","1,486",127,,,,,
NSW,PHN110,Murrumbidgee,2014-15,1 year,"3,004","2,809",195,283,261,22,,,,,
NSW,PHN110,Murrumbidgee,2013-14,2 years,"3,013","2,849",164,259,239,20,,,,,
NSW,PHN107,Western NSW,2013-14,5 years,"4,448","4,195",253,688,635,53,,,,,
NSW,PHN107,Western NSW,2013-14,2 years,"4,217","3,977",240,844,779,65,,,,,
NSW,PHN103,Western Sydney,2013-14,5 years,"13,823","12,742","1,081",208,192,16,,,,,
NSW,PHN110,Murrumbidgee,2013-14,5 years,"3,288","3,122",166,225,208,17,,,,,
